Empresas,Frutas,Cliente,Cantidad (Kg),Año,VENTAS_Canada(KG),VENTAS_China(KG),VENTAS_EE.UU.(KG),VENTAS_España(KG),VENTAS_Francia(KG)
Alfa,Platano,J&T Exportadores,1849,2011,1,3,5,3,2
America,Uva,America Exportadores,1676,2015,1,4,1,3,2
AgroLatina,Platano,Exportadores Mundiales,1845,2010,4,4,5,3,2
PeruExport,Uva,Mercado Mundial,1846,2019,4,3,1,3,2
AgroPro,Mango,Europa Exportadores,1802,2014,1,4,5,3,3
America,Palta,Mercado Mundial,1598,2020,2,4,5,3,3
FruPeru,Uva,J&T Exportadores,1699,2019,1,4,2,2,2
Alfa,Palta,America Exportadores,2275,2016,2,3,3,3,2
FruPeru,Uva,Mercado Mundial,1941,2012,4,4,4,3,3
America,ArÃ¡ndanos,America Exportadores,1443,2016,1,3,2,2,2
AgroLatina,Mango,Europa Exportadores,2062,2013,3,3,4,3,3
PeruExport,ArÃ¡ndanos,Europa Exportadores,2177,2016,2,3,1,2,2
FruPeru,Naranja,Mercado Mundial,1485,2012,1,4,1,3,3
America,Mango,America Exportadores,1650,2020,4,4,2,3,2
Alfa,Naranja,Europa Exportadores,1539,2018,2,4,3,3,2
VirPeru,Platano,Exportadores Mundiales,2375,2014,2,4,5,3,3
VirPeru,Mandarina,Europa Exportadores,2105,2012,5,3,3,1,3
PeruExport,Palta,Europa Exportadores,1039,2016,3,3,2,1,2
America,Naranja,Exportadores Mundiales,1838,2011,3,4,2,3,2
VirPeru,Platano,America Exportadores,1382,2014,2,4,5,3,2
America,Uva,Europa Exportadores,1333,2015,3,3,2,3,2
AgroLatina,ArÃ¡ndanos,America Exportadores,1187,2018,2,4,1,2,2
PeruExport,Mandarina,Mercado Mundial,2342,2012,5,4,2,1,2
PeruExport,Naranja,Exportadores Mundiales,2100,2020,3,3,3,3,2
VirPeru,Uva,Europa Exportadores,2040,2014,1,3,3,3,3
PeruExport,Palta,America Exportadores,940,2010,4,4,1,2,2
Alfa,Mango,J&T Exportadores,1284,2017,3,4,3,1,2
AgroLatina,Platano,America Exportadores,856,2020,4,3,5,2,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1214,2011,2,3,2,2,3
VirPeru,Mandarina,Mercado Mundial,1578,2010,1,4,1,1,3
PeruExport,Uva,Mercado Mundial,1760,2018,4,4,3,1,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,1084,2020,3,4,4,3,3
AgroPro,Palta,Europa Exportadores,1781,2018,5,3,2,1,2
AgroLatina,Platano,Exportadores Mundiales,1187,2016,2,3,4,3,2
Alfa,ArÃ¡ndanos,J&T Exportadores,1049,2010,2,4,4,1,2
PeruExport,Palta,Mercado Mundial,1237,2020,4,3,3,3,2
VirPeru,Palta,J&T Exportadores,1287,2019,5,3,5,1,2
AgroPro,Palta,J&T Exportadores,1686,2016,4,4,1,1,3
America,Palta,Exportadores Mundiales,2154,2019,1,3,2,2,3
AgroLatina,Palta,Mercado Mundial,2072,2020,2,4,2,3,2
Alfa,Mango,Mercado Mundial,1954,2018,2,4,5,3,2
AgroLatina,Uva,Europa Exportadores,1564,2011,1,4,1,1,3
America,Uva,Mercado Mundial,1745,2017,3,3,1,3,2
PeruExport,Naranja,America Exportadores,2344,2014,4,4,5,3,2
VirPeru,ArÃ¡ndanos,America Exportadores,2071,2014,2,4,2,2,3
FruPeru,Uva,Europa Exportadores,2143,2013,5,3,1,2,3
America,Mandarina,Mercado Mundial,1740,2011,2,4,3,1,2
FruPeru,Palta,J&T Exportadores,2193,2010,2,4,3,3,3
PeruExport,ArÃ¡ndanos,J&T Exportadores,1942,2010,3,3,2,1,3
VirPeru,Mango,J&T Exportadores,1124,2017,4,3,5,1,2
Alfa,Mandarina,J&T Exportadores,1581,2011,1,4,5,3,2
America,Uva,Mercado Mundial,990,2020,1,4,1,1,2
America,Mandarina,J&T Exportadores,1755,2010,4,3,5,2,2
America,Uva,J&T Exportadores,1885,2010,3,3,3,1,3
America,Naranja,Exportadores Mundiales,2290,2012,5,3,4,1,3
PeruExport,Uva,America Exportadores,2299,2015,2,4,1,3,2
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,874,2018,4,4,1,3,3
America,ArÃ¡ndanos,America Exportadores,1979,2016,5,3,2,2,2
VirPeru,Mandarina,Mercado Mundial,1796,2018,3,3,5,2,3
AgroPro,ArÃ¡ndanos,J&T Exportadores,1876,2013,2,4,2,3,2
VirPeru,Platano,Exportadores Mundiales,1351,2020,4,4,4,1,3
VirPeru,Mandarina,Europa Exportadores,923,2020,1,4,3,3,3
America,Mandarina,Mercado Mundial,1894,2013,5,3,4,1,2
PeruExport,Mango,Europa Exportadores,2373,2016,4,4,3,2,2
America,Uva,Europa Exportadores,2374,2020,1,4,4,1,2
VirPeru,Naranja,Exportadores Mundiales,2040,2014,5,4,2,2,2
Alfa,Naranja,J&T Exportadores,1520,2019,4,4,3,3,2
AgroLatina,Naranja,Exportadores Mundiales,1408,2015,4,4,1,3,3
America,ArÃ¡ndanos,J&T Exportadores,859,2013,2,3,5,3,2
VirPeru,Mandarina,America Exportadores,1459,2015,1,4,3,3,2
AgroLatina,Platano,America Exportadores,2358,2016,4,3,4,2,3
FruPeru,Mango,Europa Exportadores,1658,2010,4,4,1,3,3
AgroLatina,Palta,J&T Exportadores,1305,2019,2,3,3,1,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,1995,2016,2,4,3,3,3
AgroLatina,Uva,Europa Exportadores,1530,2013,3,3,1,2,2
FruPeru,Palta,America Exportadores,962,2020,1,3,2,2,2
AgroLatina,Mango,J&T Exportadores,2016,2011,1,4,4,1,2
FruPeru,ArÃ¡ndanos,J&T Exportadores,1875,2017,3,4,1,1,3
America,Mandarina,Exportadores Mundiales,1254,2015,2,3,4,2,3
PeruExport,Platano,J&T Exportadores,2269,2010,1,4,2,3,3
America,Platano,Mercado Mundial,1443,2010,2,3,4,1,3
Alfa,Naranja,Europa Exportadores,2205,2013,4,4,3,2,2
FruPeru,Mandarina,Exportadores Mundiales,801,2014,1,3,5,2,3
VirPeru,Mango,Exportadores Mundiales,1986,2014,1,3,1,1,3
AgroLatina,Naranja,J&T Exportadores,1583,2014,5,3,1,1,2
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,889,2017,3,3,4,3,3
Alfa,Platano,America Exportadores,982,2011,5,3,1,3,2
PeruExport,Mango,J&T Exportadores,1861,2013,5,4,5,2,3
America,Uva,J&T Exportadores,1859,2017,4,3,2,1,3
AgroLatina,Naranja,America Exportadores,1353,2011,1,3,1,1,3
AgroPro,Platano,America Exportadores,1255,2010,2,3,3,2,2
FruPeru,Naranja,Europa Exportadores,2131,2010,3,3,1,2,2
AgroPro,Naranja,Europa Exportadores,2324,2013,3,3,4,2,2
AgroPro,Uva,J&T Exportadores,2195,2014,2,4,5,2,3
AgroLatina,Uva,Exportadores Mundiales,2170,2012,1,4,4,3,3
AgroPro,Mandarina,America Exportadores,1243,2016,2,3,2,1,3
AgroLatina,Mandarina,Europa Exportadores,2159,2011,1,4,5,3,2
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,1754,2010,4,3,2,2,3
AgroLatina,Mango,Europa Exportadores,1541,2017,4,3,4,2,2
VirPeru,Mandarina,J&T Exportadores,2187,2010,5,3,1,3,2
America,ArÃ¡ndanos,Europa Exportadores,1427,2018,1,3,3,3,3
AgroPro,Uva,J&T Exportadores,2181,2014,1,4,3,1,3
America,Platano,J&T Exportadores,907,2017,1,3,2,3,2
PeruExport,Mandarina,Mercado Mundial,2147,2012,4,4,1,3,2
FruPeru,Palta,Exportadores Mundiales,2150,2015,3,3,4,3,2
AgroPro,Naranja,America Exportadores,908,2015,3,3,1,1,3
PeruExport,Palta,Mercado Mundial,1968,2020,5,4,4,1,2
AgroPro,Mango,J&T Exportadores,1128,2011,4,3,2,3,3
FruPeru,Naranja,America Exportadores,2162,2018,2,4,5,2,2
AgroPro,Naranja,Europa Exportadores,1450,2020,4,4,4,2,2
FruPeru,Naranja,America Exportadores,968,2019,2,4,3,1,2
FruPeru,Mandarina,Exportadores Mundiales,2285,2013,3,4,1,1,2
AgroPro,Palta,Europa Exportadores,1490,2011,1,4,4,1,2
VirPeru,Mango,J&T Exportadores,866,2018,2,4,3,3,3
AgroLatina,Uva,J&T Exportadores,1579,2011,4,4,5,2,3
Alfa,Platano,Exportadores Mundiales,1283,2010,5,4,4,1,3
VirPeru,Platano,Europa Exportadores,1215,2010,4,3,4,3,3
AgroPro,Mango,Exportadores Mundiales,1976,2016,4,4,4,2,2
VirPeru,ArÃ¡ndanos,Mercado Mundial,1562,2014,1,4,3,2,3
AgroPro,Mandarina,Europa Exportadores,2028,2011,3,4,2,2,3
AgroLatina,Uva,J&T Exportadores,1047,2011,1,4,1,1,2
AgroPro,Palta,Europa Exportadores,1529,2011,4,4,1,3,3
FruPeru,Mango,Europa Exportadores,1587,2013,3,3,3,3,2
FruPeru,Mango,Exportadores Mundiales,1832,2017,3,4,5,3,2
AgroLatina,Uva,Europa Exportadores,1496,2011,5,3,1,1,2
FruPeru,Palta,Exportadores Mundiales,1873,2011,4,4,5,2,2
Alfa,Mango,Europa Exportadores,1271,2015,1,3,3,2,2
AgroLatina,Mango,America Exportadores,1683,2019,3,4,2,3,3
FruPeru,Palta,Exportadores Mundiales,1978,2010,3,4,1,2,3
FruPeru,ArÃ¡ndanos,Mercado Mundial,1326,2016,1,4,1,3,3
AgroLatina,Mango,Europa Exportadores,1949,2016,3,4,2,1,2
AgroPro,Naranja,Exportadores Mundiales,1229,2017,2,3,3,3,2
America,Mango,Exportadores Mundiales,1384,2018,1,4,4,1,2
America,Uva,Exportadores Mundiales,1588,2019,3,3,4,1,3
Alfa,Uva,J&T Exportadores,1506,2012,2,4,4,1,2
AgroPro,Mango,Europa Exportadores,1385,2018,2,3,2,3,3
FruPeru,Mandarina,Europa Exportadores,1943,2017,3,3,1,2,3
AgroLatina,ArÃ¡ndanos,J&T Exportadores,1720,2017,3,3,3,3,2
Alfa,Mandarina,Exportadores Mundiales,1436,2011,3,4,2,2,3
Alfa,Uva,America Exportadores,1010,2018,5,4,2,1,2
AgroPro,Uva,Europa Exportadores,1606,2012,4,4,4,2,2
PeruExport,Mandarina,America Exportadores,2234,2019,3,4,2,2,3
Alfa,Platano,America Exportadores,1451,2014,3,3,3,1,2
America,Palta,J&T Exportadores,2307,2014,2,4,1,3,3
FruPeru,Naranja,Exportadores Mundiales,1767,2015,2,4,2,3,2
PeruExport,Uva,Exportadores Mundiales,1683,2019,5,4,1,1,2
FruPeru,Palta,Europa Exportadores,1501,2019,5,3,3,2,2
PeruExport,Platano,J&T Exportadores,2281,2011,1,3,3,2,2
FruPeru,Palta,Mercado Mundial,2358,2017,3,3,3,3,2
FruPeru,Mandarina,Exportadores Mundiales,1663,2020,3,4,5,2,3
PeruExport,ArÃ¡ndanos,J&T Exportadores,1230,2010,4,3,2,1,2
America,Palta,Exportadores Mundiales,1025,2018,1,3,3,1,3
VirPeru,ArÃ¡ndanos,America Exportadores,909,2016,5,4,1,2,3
Alfa,Uva,J&T Exportadores,1285,2015,1,4,5,1,2
Alfa,Mango,J&T Exportadores,2134,2018,1,3,5,1,2
AgroPro,Uva,America Exportadores,1712,2013,1,4,5,2,2
FruPeru,Mandarina,Exportadores Mundiales,2328,2012,5,3,2,1,2
Alfa,Mango,America Exportadores,1634,2014,2,3,2,3,2
PeruExport,Palta,America Exportadores,2233,2018,3,4,5,2,3
AgroLatina,ArÃ¡ndanos,Exportadores Mundiales,2195,2011,3,3,3,2,3
AgroPro,Palta,Mercado Mundial,1963,2015,1,3,4,2,2
America,Naranja,Europa Exportadores,1451,2017,3,3,1,2,2
America,Mango,Mercado Mundial,1751,2020,5,4,3,2,2
PeruExport,ArÃ¡ndanos,Mercado Mundial,1069,2016,4,4,3,2,2
Alfa,Naranja,America Exportadores,2091,2013,2,4,3,1,2
VirPeru,ArÃ¡ndanos,Europa Exportadores,1285,2019,3,4,3,2,2
Alfa,Mango,J&T Exportadores,2004,2020,3,4,5,1,2
AgroLatina,Mango,America Exportadores,1134,2015,3,3,5,2,3
America,Platano,J&T Exportadores,1936,2010,2,4,5,3,2
FruPeru,ArÃ¡ndanos,America Exportadores,2200,2019,3,4,3,1,2
AgroLatina,Naranja,America Exportadores,2102,2011,2,4,3,2,3
AgroLatina,Mango,America Exportadores,1482,2010,5,4,4,2,3
FruPeru,Mandarina,Exportadores Mundiales,2103,2016,5,3,3,1,3
FruPeru,Palta,Europa Exportadores,1914,2017,5,3,4,3,2
PeruExport,Naranja,Europa Exportadores,1977,2013,5,4,2,1,2
AgroLatina,Mango,Mercado Mundial,1924,2010,2,4,4,3,2
VirPeru,Mandarina,America Exportadores,1487,2020,4,4,5,3,2
AgroPro,ArÃ¡ndanos,Mercado Mundial,2345,2014,5,4,4,2,3
Alfa,Mandarina,J&T Exportadores,1568,2016,5,3,2,1,2
FruPeru,Naranja,Mercado Mundial,2366,2020,4,4,3,2,2
America,Naranja,J&T Exportadores,2002,2018,5,3,1,2,2
VirPeru,Palta,Exportadores Mundiales,1887,2020,2,3,1,3,2
VirPeru,Mango,Europa Exportadores,1354,2016,4,3,3,1,3
AgroPro,Mango,America Exportadores,2336,2013,3,3,3,2,2
VirPeru,Naranja,Mercado Mundial,1889,2019,1,3,3,3,2
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1013,2017,2,4,4,1,3
PeruExport,Mandarina,Europa Exportadores,983,2015,5,4,3,2,2
AgroLatina,Naranja,Mercado Mundial,1220,2016,2,3,1,2,3
VirPeru,Platano,Exportadores Mundiales,2201,2018,1,3,2,1,3
America,Mandarina,Europa Exportadores,1686,2017,2,4,3,2,3
PeruExport,Mango,Exportadores Mundiales,1855,2011,4,4,5,3,3
America,ArÃ¡ndanos,Europa Exportadores,849,2011,2,3,5,1,2
Alfa,Uva,Europa Exportadores,2147,2018,5,4,3,1,3
PeruExport,Mango,J&T Exportadores,1416,2018,5,3,1,1,3
Alfa,ArÃ¡ndanos,Europa Exportadores,2394,2015,2,4,2,1,2
AgroPro,Mango,J&T Exportadores,2210,2016,1,3,3,1,3
AgroPro,Platano,Mercado Mundial,963,2017,4,4,5,1,2
AgroLatina,Mandarina,America Exportadores,2031,2020,1,4,5,3,3
AgroLatina,Naranja,Europa Exportadores,2311,2013,5,3,5,3,3
AgroPro,Platano,America Exportadores,1235,2011,2,4,4,2,3
AgroLatina,ArÃ¡ndanos,Exportadores Mundiales,905,2020,1,4,5,3,2
AgroPro,Uva,Exportadores Mundiales,1404,2018,1,4,5,3,3
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,2246,2011,3,4,2,2,3
VirPeru,Naranja,America Exportadores,1858,2017,1,3,5,1,2
America,Naranja,Mercado Mundial,1321,2010,5,3,2,1,2
AgroPro,Uva,Exportadores Mundiales,1632,2010,5,3,1,2,3
Alfa,Platano,Europa Exportadores,1585,2013,4,3,5,2,3
PeruExport,Mandarina,J&T Exportadores,869,2017,5,3,5,3,3
America,ArÃ¡ndanos,Europa Exportadores,2043,2012,2,3,5,2,3
AgroPro,Naranja,Mercado Mundial,802,2011,1,4,2,2,3
VirPeru,Palta,Europa Exportadores,1455,2015,4,4,1,3,2
AgroLatina,Uva,America Exportadores,968,2018,3,3,5,1,3
Alfa,Mandarina,America Exportadores,1769,2014,4,3,3,3,3
FruPeru,Platano,J&T Exportadores,1155,2011,5,4,3,1,2
VirPeru,Naranja,America Exportadores,1767,2013,2,3,4,2,2
AgroPro,Palta,Europa Exportadores,1895,2016,2,3,5,2,2
FruPeru,Mango,America Exportadores,2180,2013,5,3,4,1,3
Alfa,Mango,J&T Exportadores,1098,2018,3,3,4,2,2
America,Palta,America Exportadores,2119,2019,1,3,3,2,2
FruPeru,Uva,J&T Exportadores,1743,2010,5,3,4,2,3
FruPeru,Naranja,J&T Exportadores,2307,2017,5,3,1,2,3
Alfa,Mandarina,Europa Exportadores,1467,2018,4,3,2,3,2
FruPeru,ArÃ¡ndanos,Europa Exportadores,1136,2017,2,4,5,2,3
America,Mango,Exportadores Mundiales,1448,2010,4,3,4,1,2
Alfa,Uva,Exportadores Mundiales,1062,2019,1,4,3,3,2
FruPeru,Platano,Exportadores Mundiales,1771,2018,1,3,3,3,3
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,875,2013,3,4,4,1,2
Alfa,Naranja,Exportadores Mundiales,1268,2017,3,3,1,1,3
PeruExport,Platano,America Exportadores,836,2013,1,3,3,2,3
Alfa,Palta,J&T Exportadores,1068,2016,5,3,5,3,3
FruPeru,Platano,Europa Exportadores,2060,2014,2,3,3,1,3
FruPeru,Uva,Mercado Mundial,949,2015,2,4,1,2,3
VirPeru,Platano,America Exportadores,2140,2016,3,4,2,2,2
VirPeru,Mango,Mercado Mundial,2164,2016,5,4,2,2,3
Alfa,Palta,Exportadores Mundiales,1576,2019,4,4,1,1,3
AgroLatina,Platano,Europa Exportadores,1287,2011,4,3,4,2,3
AgroPro,Mango,J&T Exportadores,1351,2015,5,4,4,3,3
FruPeru,Mandarina,Europa Exportadores,1107,2016,3,4,3,1,3
VirPeru,Naranja,Mercado Mundial,1835,2013,1,3,3,2,2
AgroPro,Mango,Europa Exportadores,1566,2016,1,4,4,2,3
VirPeru,Platano,Mercado Mundial,1154,2011,5,3,3,1,2
PeruExport,Platano,Mercado Mundial,2167,2018,1,4,2,3,3
AgroPro,Uva,Mercado Mundial,1996,2012,1,3,3,3,3
Alfa,Uva,America Exportadores,981,2016,2,3,1,3,2
America,Naranja,J&T Exportadores,853,2014,3,4,2,3,2
AgroPro,Mandarina,Mercado Mundial,2233,2015,5,4,2,1,2
America,Platano,America Exportadores,1472,2014,3,4,4,3,2
VirPeru,Naranja,Mercado Mundial,1687,2017,4,4,2,1,3
AgroLatina,Palta,America Exportadores,1901,2010,4,4,3,2,2
VirPeru,ArÃ¡ndanos,Exportadores Mundiales,1826,2015,1,3,1,1,3
AgroLatina,Naranja,Exportadores Mundiales,1572,2016,3,3,4,3,3
America,Palta,Europa Exportadores,1954,2015,3,3,1,3,2
PeruExport,Palta,America Exportadores,1353,2013,4,3,4,1,3
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,1353,2019,2,4,3,2,3
FruPeru,Naranja,Mercado Mundial,1528,2013,2,4,5,2,2
Alfa,Naranja,America Exportadores,1494,2016,1,3,1,3,3
PeruExport,Mango,Mercado Mundial,908,2010,5,3,2,1,2
AgroLatina,Palta,J&T Exportadores,808,2020,1,4,2,3,3
PeruExport,ArÃ¡ndanos,Exportadores Mundiales,1637,2014,5,4,4,1,2
PeruExport,ArÃ¡ndanos,J&T Exportadores,1882,2015,4,3,2,1,3
AgroLatina,Uva,Exportadores Mundiales,984,2014,4,4,1,1,3
Alfa,Mandarina,America Exportadores,1380,2015,1,4,1,2,2
VirPeru,ArÃ¡ndanos,America Exportadores,2109,2020,5,3,1,1,3
VirPeru,Uva,Mercado Mundial,1583,2011,3,4,1,3,3
VirPeru,Naranja,America Exportadores,1874,2020,2,3,5,2,3
PeruExport,Mango,Mercado Mundial,875,2018,2,4,4,1,2
VirPeru,Naranja,Exportadores Mundiales,964,2012,1,3,4,3,2
Alfa,Palta,America Exportadores,1349,2016,1,4,1,2,2
PeruExport,ArÃ¡ndanos,J&T Exportadores,1104,2014,3,3,4,2,2
AgroPro,Mandarina,Mercado Mundial,2387,2011,4,3,4,2,3
FruPeru,Mango,America Exportadores,1928,2011,2,4,1,2,3
AgroLatina,Mandarina,Europa Exportadores,950,2010,3,3,2,3,3
AgroPro,Platano,America Exportadores,2349,2018,1,3,5,1,2
AgroLatina,Naranja,Mercado Mundial,1418,2013,1,4,3,3,2
FruPeru,Uva,J&T Exportadores,1828,2015,3,3,5,2,3
VirPeru,Uva,J&T Exportadores,1060,2010,2,3,2,1,2
America,Mango,Europa Exportadores,1511,2013,5,3,5,1,2
PeruExport,Platano,Europa Exportadores,980,2013,4,3,5,2,3
AgroLatina,Mango,Mercado Mundial,1719,2019,4,4,4,1,2
Alfa,Platano,Exportadores Mundiales,922,2015,1,4,4,1,3
VirPeru,Platano,America Exportadores,1394,2011,4,4,5,1,3
AgroPro,Naranja,J&T Exportadores,1013,2017,2,3,4,3,2
AgroLatina,Mandarina,Exportadores Mundiales,2015,2020,4,4,4,1,3
AgroPro,Mango,Mercado Mundial,1764,2017,4,4,5,1,3
PeruExport,Naranja,America Exportadores,1080,2017,5,4,2,3,3
AgroPro,Naranja,Exportadores Mundiales,982,2020,5,4,4,3,3
PeruExport,Palta,America Exportadores,2180,2015,5,4,1,1,2
VirPeru,Uva,Mercado Mundial,1754,2012,1,3,5,3,3
FruPeru,Platano,Europa Exportadores,1727,2014,1,3,1,2,3
VirPeru,Mango,J&T Exportadores,1520,2016,2,4,2,1,2
AgroLatina,Naranja,Europa Exportadores,1928,2016,4,3,4,3,3
AgroPro,Naranja,Europa Exportadores,2101,2017,1,4,4,2,3
FruPeru,Platano,J&T Exportadores,1335,2016,1,3,1,2,3
America,Naranja,America Exportadores,1851,2016,1,3,2,1,3
PeruExport,Mandarina,Mercado Mundial,900,2011,1,4,5,3,3
FruPeru,Platano,J&T Exportadores,1411,2013,5,3,5,3,3
PeruExport,Mandarina,Europa Exportadores,1129,2015,5,4,2,1,2
America,Uva,Mercado Mundial,1943,2012,5,4,5,2,2
Alfa,Mango,America Exportadores,2295,2020,1,4,4,3,3
America,Platano,Exportadores Mundiales,2199,2018,5,4,3,3,2
Alfa,Mandarina,America Exportadores,1253,2015,3,3,1,1,3
VirPeru,Uva,America Exportadores,1919,2017,1,4,2,3,3
PeruExport,ArÃ¡ndanos,Mercado Mundial,1641,2020,1,4,2,1,3
PeruExport,Platano,Mercado Mundial,2327,2015,3,3,4,3,2
FruPeru,Naranja,Mercado Mundial,862,2010,1,3,4,2,2
AgroPro,Platano,J&T Exportadores,2109,2019,2,4,4,1,2
America,Naranja,America Exportadores,1061,2012,2,3,1,1,2
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,1707,2020,4,4,1,1,2
VirPeru,ArÃ¡ndanos,Europa Exportadores,2211,2018,1,3,5,2,2
FruPeru,Uva,J&T Exportadores,1224,2011,2,3,5,3,3
PeruExport,Uva,Europa Exportadores,1535,2016,3,3,3,2,2
FruPeru,Mango,Europa Exportadores,1015,2014,2,4,1,2,3
FruPeru,ArÃ¡ndanos,Europa Exportadores,1269,2020,2,4,4,2,3
AgroPro,Uva,Exportadores Mundiales,1999,2019,3,4,4,1,3
America,Mango,Mercado Mundial,1843,2015,1,3,1,1,3
PeruExport,Naranja,Europa Exportadores,2351,2013,3,4,1,2,3
America,Mango,Mercado Mundial,1756,2010,2,4,2,1,2
America,ArÃ¡ndanos,Europa Exportadores,1823,2019,3,4,3,2,3
AgroPro,Palta,Mercado Mundial,1098,2015,2,4,5,3,3
AgroLatina,Naranja,J&T Exportadores,1133,2011,3,3,5,3,3
AgroLatina,Palta,Europa Exportadores,2281,2017,3,3,4,3,2
FruPeru,Mango,J&T Exportadores,1285,2016,4,4,5,3,3
VirPeru,Mandarina,Mercado Mundial,2379,2011,5,4,1,3,2
Alfa,ArÃ¡ndanos,J&T Exportadores,988,2015,1,4,2,2,2
VirPeru,ArÃ¡ndanos,America Exportadores,1782,2014,2,3,4,2,3
PeruExport,Palta,Europa Exportadores,1552,2017,1,4,4,1,2
AgroPro,Platano,Europa Exportadores,1959,2016,3,3,2,2,2
America,Palta,Mercado Mundial,1427,2020,2,4,3,1,3
FruPeru,Mango,Exportadores Mundiales,839,2019,2,4,5,1,3
FruPeru,ArÃ¡ndanos,Exportadores Mundiales,1132,2013,5,4,5,2,3
AgroPro,Mango,Europa Exportadores,1901,2019,1,4,4,3,2
AgroPro,Platano,Exportadores Mundiales,1195,2017,1,3,5,1,2
FruPeru,Mango,Europa Exportadores,1594,2014,3,4,3,2,2
VirPeru,Naranja,Exportadores Mundiales,987,2011,4,3,3,1,3
America,Naranja,J&T Exportadores,1690,2012,4,3,5,2,3
AgroLatina,Uva,J&T Exportadores,1189,2019,1,4,4,2,3
VirPeru,Platano,Exportadores Mundiales,2184,2020,3,4,1,2,2
Alfa,Naranja,Mercado Mundial,1075,2016,1,3,2,1,3
FruPeru,Mango,Mercado Mundial,1600,2018,3,3,1,2,3
AgroPro,ArÃ¡ndanos,Exportadores Mundiales,1285,2011,4,3,2,2,3
America,Mandarina,Europa Exportadores,1091,2014,2,4,5,1,2
Alfa,Mandarina,Mercado Mundial,1816,2015,2,3,3,2,2
PeruExport,Uva,Mercado Mundial,1139,2015,5,3,2,3,2
FruPeru,Mango,Europa Exportadores,1223,2011,1,3,5,3,2
AgroPro,Mandarina,Exportadores Mundiales,989,2014,3,4,5,3,3
AgroPro,Naranja,Mercado Mundial,901,2020,2,4,4,2,2
VirPeru,Mandarina,Mercado Mundial,1848,2017,2,4,2,3,2
PeruExport,Uva,J&T Exportadores,2386,2014,4,4,4,3,2
FruPeru,Palta,J&T Exportadores,2315,2020,3,4,4,3,2
VirPeru,Platano,J&T Exportadores,1190,2012,5,4,3,3,3
America,Mango,J&T Exportadores,809,2017,3,3,2,2,3
FruPeru,Palta,Europa Exportadores,1237,2010,5,4,1,2,2
VirPeru,Uva,Exportadores Mundiales,1668,2013,4,3,2,3,3
Alfa,Mango,America Exportadores,812,2020,1,4,2,1,3
AgroPro,Uva,America Exportadores,1230,2019,5,4,1,1,2
America,Mango,Europa Exportadores,1944,2016,2,4,4,1,3
FruPeru,Mandarina,Mercado Mundial,1515,2013,3,4,3,3,3
FruPeru,Mango,Europa Exportadores,1521,2014,2,4,4,3,2
PeruExport,Palta,Europa Exportadores,2400,2015,5,4,2,3,2
FruPeru,ArÃ¡ndanos,America Exportadores,1099,2019,5,3,3,3,2
FruPeru,Platano,Exportadores Mundiales,995,2018,5,4,2,3,3
VirPeru,Platano,Mercado Mundial,1835,2010,5,3,2,2,3
PeruExport,Naranja,J&T Exportadores,1546,2011,3,3,2,3,3
AgroLatina,ArÃ¡ndanos,J&T Exportadores,1612,2016,2,4,1,3,3
America,Mango,Exportadores Mundiales,1088,2018,5,3,1,3,2
AgroLatina,Naranja,Europa Exportadores,2077,2010,3,3,4,2,3
America,Palta,Mercado Mundial,1115,2014,2,3,1,2,3
Alfa,Mandarina,Mercado Mundial,1305,2012,5,4,3,1,3
America,Mandarina,America Exportadores,832,2016,4,4,1,3,3
FruPeru,Palta,Exportadores Mundiales,1753,2017,2,3,4,3,2
PeruExport,Platano,Mercado Mundial,980,2019,4,3,3,3,3
AgroPro,Palta,J&T Exportadores,2186,2015,5,4,2,3,2
Alfa,Mandarina,Mercado Mundial,2039,2013,4,3,2,3,2
VirPeru,Mango,Exportadores Mundiales,1606,2010,4,3,4,1,3
Alfa,Mango,Europa Exportadores,1799,2016,3,4,2,1,2
AgroLatina,Naranja,America Exportadores,2028,2016,3,4,4,2,3
PeruExport,Palta,America Exportadores,913,2013,1,3,5,2,2
VirPeru,Palta,America Exportadores,850,2020,1,4,2,1,2
AgroPro,Mango,Europa Exportadores,1438,2016,4,3,4,2,2
AgroPro,Platano,J&T Exportadores,946,2010,3,3,3,2,2
FruPeru,Uva,America Exportadores,1096,2013,5,4,3,3,3
VirPeru,Mango,Exportadores Mundiales,1181,2016,5,4,4,2,3
Alfa,Uva,Europa Exportadores,1200,2014,2,4,5,3,3
AgroLatina,Platano,America Exportadores,2061,2015,4,3,3,3,3
VirPeru,Platano,America Exportadores,1724,2018,5,4,2,1,3
AgroLatina,Naranja,America Exportadores,1363,2016,2,3,1,1,2
Alfa,Mango,Exportadores Mundiales,1203,2011,2,3,5,1,3
America,Palta,Europa Exportadores,1271,2015,1,3,1,3,2
